catid,category_name,parent_catid,parent_category_name
11012665,Briefcases,11012659,Men's Bags
11027691,Others,11012659,Men's Bags
11013077,Jewellery & Accessories,0,
11027812,Men's Jewellery,11013077,Jewellery & Accessories
11027792,Hats & Caps,11013077,Jewellery & Accessories
11027777,Belts,11013077,Jewellery & Accessories
11013196,Scarves & Gloves,11013077,Jewellery & Accessories
11013171,Key Chains,11013077,Jewellery & Accessories
11013167,Jewellery Accessories,11013077,Jewellery & Accessories
11013157,Hairwear,11013077,Jewellery & Accessories
11013155,Gold And Silver Bars,11013077,Jewellery & Accessories
11013142,Fine Jewellery,11013077,Jewellery & Accessories
11013128,Fashion Jewellery,11013077,Jewellery & Accessories
11013109,Eyewear,11013077,Jewellery & Accessories
11013080,Accessories,11013077,Jewellery & Accessories
11027822,Others,11013077,Jewellery & Accessories
11012515,Watches,0,
11027637,Couple Sets,11012515,Watches
11012556,Women's Watches,11012515,Watches
11012550,Watches Accessories,11012515,Watches
11012540,Unisex Watches,11012515,Watches
11012527,Men's Watches,11012515,Watches
11012698,Women's Shoes,0,
11012747,Sneakers,11012698,Women's Shoes
11012741,Slippers,11012698,Women's Shoes
11012735,Shoe Accessories,11012698,Women's Shoes
11012729,Sandals,11012698,Women's Shoes
11012719,Heels,11012698,Women's Shoes
11012710,Flats,11012698,Women's Shoes
11012704,Brogues & Oxford,11012698,Women's Shoes
11012699,Boots,11012698,Women's Shoes
11027693,Others,11012698,Women's Shoes
11012767,Men's Shoes,0,
11027702,Shoe Accessories,11012767,Men's Shoes
11027700,Others,11012767,Men's Shoes
11012800,Sneakers,11012767,Men's Shoes
11012788,Sandals & Flip-Flops,11012767,Men's Shoes
11012778,Loafers,11012767,Men's Shoes
11012772,Formal Shoes,11012767,Men's Shoes
11012768,Boots,11012767,Men's Shoes
11000002,Automotive,0,
11029682,Services & Installation,11000002,Automotive
11027314,Others,11000002,Automotive
11011530,Motorcycles & Scooters,11000002,Automotive
11011517,Car Replacement Parts,11000002,Automotive
11011510,Car Oil & Fluids,11000002,Automotive
11011493,Car Electronics,11000002,Automotive
11011482,Car Care,11000002,Automotive
11011459,Car Accessories,11000002,Automotive
11080712,ShopeePay Near Me,0,
11080714,Deals,11080712,ShopeePay Near Me
11080713,ShopeePay Vouchers,11080712,ShopeePay Near Me
11012255,"Dining, Travel & Services",0,
11027407,Dining,11012255,"Dining, Travel & Services"
11012295,Transport & Travel,11012255,"Dining, Travel & Services"
11012281,Services,11012255,"Dining, Travel & Services"
11012256,Activities & Events,11012255,"Dining, Travel & Services"
11027414,Others,11012255,"Dining, Travel & Services"
11012566,Travel & Luggage,0,
11012586,Travel Bags & Backpacks,11012566,Travel & Luggage
11012579,Travel Accessories,11012566,Travel & Luggage
11012572,Luggage Accessories,11012566,Travel & Luggage
11012567,Luggage,11012566,Travel & Luggage
11029718,Miscellaneous,0,
11029719,Adult,11029718,Miscellaneous
11029737,Others,11029718,Miscellaneous
