price,price_before_discount,raw_discount,discount_percentage,name,image,sold,historical_sold,shop_name,itemid,shopid,rating_star,rating_count,shop_location,stock
2.89,2.9,1,1%,🚚SG SALES🚚Velcro Sports Hair Band: Yoga Sweat-absorbing Anti-slip Bathing Double-layer Soft Headband,https://down-sg.img.susercontent.com/file/sg-11134207-7repb-m8o5jqhvvas978,86,2000, HOMEE NANA,13562350132,426891457,4.870689655172414,696,SG,1
6.99,6.99,0,,RACKETSAFE Premium Pickleball Paddle Protection Tape -pickleball paddle edge guard-protection tape-14mm 16mm paddle tape,https://down-sg.img.susercontent.com/file/sg-11134207-7repi-m8lo017jsuj534,85,329,racketsafei0.sg,27083499683,1044970187,4.72093023255814,172,Malaysia,1
16.58,55.0,72,72%,[NICOO] Cooler Box 6L-16L-30L Beer Chiller Drink Cooler For Outdoor Picnic Hiking Fishing 大容量保温箱,https://down-sg.img.susercontent.com/file/sg-11134207-821f9-mgmbkkstj40edd,83,83,Nicoo MALL,41918635280,1489868940,4.904761904761905,42,SG,1
0.41,1.96,80,80%,"[ Wholesale ]Backpack Hanging Buckle -Carabiner Mountaineering Buckle -Outdoor Hanging Keychain Hook -D Shape , Plastic , Lightweight -For Outdoor Travelling Camping -83*55MM",https://down-sg.img.susercontent.com/file/sg-11134201-7rcc4-lscibvc829138d,82,2000,MELANIE Grocery Store,25917541752,290987329,4.818181818181818,242,Mainland China,1
6.2,14.0,56,56%,Carabiner Hook Lightweight Carabiner Clips Heavy Duty Carabina Clip High-quality D Shape Spring-Loaded Aluminum Keychain,https://down-sg.img.susercontent.com/file/sg-11134201-7reoe-m8bpmvg22wid91,82,2000,Verilux,15098548846,306851801,4.896373056994818,772,SG,1
3.16,11.98,74,74%,HIGH POWER Headlamp XPE+COB Light Rechargeable Waterproof Headlight Night Walk Hiking Camping 户外头灯,https://down-sg.img.susercontent.com/file/sg-11134201-22090-qe9jrycllqhvb7,80,1000,phoneshop.my,8960251226,199249572,4.891998564764981,5576,Malaysia,1
6.43,7.62,18,18%,Pickleball Training Device Indoor Outdoor Sports Pickleball Trainer Set Pickleball Racket 匹克球训练器,https://down-sg.img.susercontent.com/file/my-11134207-7rasi-m52ofbv8j94b73,79,393,Multi My Max Trading,24040254493,217658727,4.635437881873727,982,Malaysia,1
2.3,5.0,54,54%,【sg Stock】Knitted Elastic Sports Headband Match All People Stretchy Hairband Running Sport Hair Compression Headband,https://down-sg.img.susercontent.com/file/sg-11134211-7renf-m2jegaj3wrib06,79,761,OMNI SHOP,24229701520,1005465050,4.885057471264368,174,SG,1
2.51,11.16,80,80%,New Cotton Wristband Wristband Sweat Absorbent Wristbands Swoosh/Unisex Sports Wristband,https://down-sg.img.susercontent.com/file/sg-11134201-7rd5g-lvwmxr453bls55,79,359,NK official authorized store.sg,26153419487,1285895587,4.531914893617022,94,Mainland China,1
5.97,47.02,87,87%,Outdoor Walking Stick Foldable Trekking Poles Walking Sticks Anti Shock Telescopic Stick Hiking Stick old man crutch 登山杖,https://down-sg.img.susercontent.com/file/sg-11134201-7repg-m2t28unpkmh599,75,204,Tottraveloutdoor.sg,27869448036,1407286667,4.865853658536586,164,Malaysia,1
7.0,7.0,0,,"aLL.EZ Citrus Scented Liquid Chalk (50ml) | 1 bottle | Climbing, Lifting & Bouldering",https://down-sg.img.susercontent.com/file/sg-11134201-22120-s97hm1p8wflva9,75,1000,aLL.EZ Official Store,22813830712,883338500,4.9537953795379535,606,SG,1
0.55,0.55,0,,Silky Elastic Cloth Yoga Exercise Headband  Fitness Headband Hairbands and hair accessories,https://down-sg.img.susercontent.com/file/sg-11134201-7rbmo-lonk81984eux3e,75,1000,productandsupplier.sg,25852199341,453186669,4.858725761772853,722,Mainland China,1
5.34,5.34,0,,9 / 10 Strand Core 4mm 31m 100m Paracord Rope Parachute Cord Military Standard Lanyard Flysheet Tarp Tent Camping Survi,https://down-sg.img.susercontent.com/file/5c4929ee9c816ae944a029b1f2d8669b,74,828,thecamposzn.sg,17350142136,632985334,4.959087332808812,2544,Malaysia,1
3.93,6.0,35,35%,"Rechargeable Mini Flashlight - XPE COB Dual Light Zoomable, IPX4 Waterproof, Camping Hiking Emergency Torch",https://down-sg.img.susercontent.com/file/sg-11134301-7rcex-ltmf0n26lsx252,74,727,Shopee Choice Global,25374919087,1006220784,4.88858455557519,22654,Malaysia,1
1.58,3.16,50,50%,Outdoor Survival Whistle High Decibel Double Pipe Whistle Stainless Steel Alloy Keychain Cheerleading Emergency Multi Tool,https://down-sg.img.susercontent.com/file/63bc2ddeb2acd78134ca51c5782a0790,73,4000,Gavin Sports & Outdoors Store,6465754522,265067573,4.912438875305623,13098,Mainland China,1
1.62,4.25,62,62%,XIWANGFIRE Mini Portable LED Flashlight Pocket Ultra Bright High Lumens Handheld Pen Light  led Torch for Camping Outdoor Emergency,https://down-sg.img.susercontent.com/file/sg-11134201-821gc-mgk8lz52o2dle2,73,818,Shopee Choice Global,24424347765,1006220784,4.7016534867002155,2782,Mainland China,1
